Username,Password,Role,MaNV
thanhchutich1604@team4.group,16042006,1,NV000
LuongTrungThanh2006@team4.group,30042006,2,NV001
NguyenVanAn1990@team4.group,15051990,4,NV002
TranThiBinh1992@team4.group,20101992,4,NV003
LeVanCuong1988@team4.group,01011988,4,NV004
PhamThiDung1995@team4.group,05051995,4,NV005
HoangVanEm1998@team4.group,10121998,4,NV006
DoanVanHung1991@team4.group,22021991,4,NV007
VuThiGam1993@team4.group,14071993,4,NV008
NgoVanHai1996@team4.group,30041996,4,NV009
BuiThiKim1997@team4.group,02091997,4,NV010
DangVanLam1989@team4.group,11111989,4,NV011
TruongThiMy1994@team4.group,08031994,4,NV012
LyVanNam1999@team4.group,19081999,4,NV013
MaiThiOanh2000@team4.group,25122000,4,NV014
DinhVanPhu1990@team4.group,10101990,4,NV015
CaoThiQuyen1995@team4.group,01061995,4,NV016
PhanVanRong1998@team4.group,15011998,4,NV017
DuongThiSuong1996@team4.group,20111996,4,NV018
HaVanTai1985@team4.group,05051985,4,NV019
KhuatThiUyen1992@team4.group,12121992,4,NV020
BachVanVinh1997@team4.group,28021997,4,NV021
PhungThiXinh1999@team4.group,09091999,4,NV022
ChuVanYen1991@team4.group,30061991,4,NV023
TrinhThiZung1994@team4.group,22041994,4,NV024
DamVanAn2001@team4.group,11032001,4,NV025
LoThiBinh1998@team4.group,14081998,4,NV026
DiepVanCuong1988@team4.group,19051988,4,NV027
LuongThiDuyen1993@team4.group,25101993,4,NV028
OngVanEm1999@team4.group,02011999,4,NV029
ToThiGam1997@team4.group,17061997,4,NV030
TaVanHai1990@team4.group,08081990,4,NV031
MaiThiHoa1995@team4.group,15031995,4,NV032
GiangVanHung1996@team4.group,20111996,4,NV033
QuachThiHue1999@team4.group,05091999,4,NV034
PhiVanKhanh1987@team4.group,12041987,4,NV035
LuuThiLan1994@team4.group,28071994,4,NV036
NghiemVanMinh2000@team4.group,09022000,4,NV037
TrieuThiNga1998@team4.group,16121998,4,NV038
TongVanOanh1991@team4.group,30011991,4,NV039
TieuThiPhuong1993@team4.group,11051993,4,NV040
CamVanQuan1997@team4.group,24081997,4,NV041
ViThiQuyen1996@team4.group,03031996,4,NV042
BeVanSang1989@team4.group,18111989,4,NV043
CheThiTam1994@team4.group,07071994,4,NV044
LaVanThanh2001@team4.group,29092001,4,NV045
MaThiUyen1998@team4.group,10061998,4,NV046
XaVanVinh1992@team4.group,01011992,4,NV047
LucThiXuyen1995@team4.group,14041995,4,NV048
NongVanYen1999@team4.group,22121999,4,NV049
SamThiZung1997@team4.group,19101997,4,NV050
KieuVanAn1986@team4.group,05021986,4,NV051
DoanThiBinh1993@team4.group,13091993,4,NV052
TangVanCuong2000@team4.group,26052000,4,NV053
GiapThiDung1998@team4.group,08081998,4,NV054
ThachVanEm1990@team4.group,30111990,4,NV055
DanhThiGam1994@team4.group,21031994,4,NV056
ChauVanHai1997@team4.group,12071997,4,NV057
SonThiHoa1996@team4.group,04041996,4,NV058
KimVanHung1988@team4.group,16101988,4,NV059
LamThiHue1995@team4.group,09011995,4,NV060
DieuVanKhoa2001@team4.group,27062001,4,NV061
HuyenThiLan1999@team4.group,15051999,4,NV062
BanVanMinh1991@team4.group,23111991,4,NV063
LoThiNga1994@team4.group,02021994,4,NV064
BacVanOanh1996@team4.group,18091996,4,NV065
CaThiPhuong1998@team4.group,06081998,4,NV066
SamVanQuan1989@team4.group,10121989,4,NV067
ViThiQuyen1993@team4.group,14041993,4,NV068
YVanSang2000@team4.group,25052000,4,NV069
HBinhTam1997@team4.group,08011997,4,NV070
YSolThanh1992@team4.group,20061992,4,NV071
HHenUyen1995@team4.group,11111995,4,NV072
KSorVinh1999@team4.group,01031999,4,NV073
NayThiXinh1996@team4.group,12101996,4,NV074
RChamYen1987@team4.group,05071987,4,NV075
SiuThiZung1994@team4.group,22091994,4,NV076
ThachVanAn2001@team4.group,15022001,4,NV077
ChauThiBinh1998@team4.group,09061998,4,NV078
LamVanCuong1990@team4.group,30081990,4,NV079
LuuThiDung1995@team4.group,17011995,4,NV080
TrinhVanEm1997@team4.group,24051997,4,NV081
NgoThiGam1996@team4.group,03111996,4,NV082
DinhVanHai1988@team4.group,28041988,4,NV083
DangThiHoa1993@team4.group,14091993,4,NV084
BuiVanHung2000@team4.group,06032000,4,NV085
DoanThiHue1999@team4.group,19071999,4,NV086
HoangVanKhanh1991@team4.group,01121991,4,NV087
NguyenThiLan1994@team4.group,10051994,4,NV088
TranVanMinh1996@team4.group,25101996,4,NV089
LeThiNga1998@team4.group,12021998,4,NV090
PhamVanOanh1989@team4.group,30061989,4,NV091
VuThiPhuong1995@team4.group,15081995,4,NV092
VoVanQuan2001@team4.group,08012001,4,NV093
PhanThiQuyen1997@team4.group,20041997,4,NV094
TruongVanSang1992@team4.group,04091992,4,NV095
BuiThiTam1994@team4.group,17111994,4,NV096
DangVanThanh1999@team4.group,02021999,4,NV097
DoThiUyen1996@team4.group,12051996,4,NV098
HoVanVinh1990@team4.group,28121990,4,NV099
NgoThiXinh1995@team4.group,10031995,4,NV100
LyVanYen1987@team4.group,22071987,4,NV101
